# q=4.941618e-01 chizA=0.000000e+00 chizB=0.000000e+00 f0=2.000000e+01
# M=5.015448e+01 LambdaA=[0.000000e+00,0.000000e+00,0.000000e+00] LambdaBl2=[0.000000e+00,0.000000e+00,0.000000e+00]
# D=1.000000e+02 phi=-4.950961e-01 iota=0.000000e+00
# t:0 real:1 imag:2 Ampli:3 Phase:4
4.345703125e-02 1.641114968255e-21 1.292185360282e-21 0.000000000000e+00 0.000000000000e+00
4.370117188e-02 1.561031797424e-21 1.393614736900e-21 0.000000000000e+00 0.000000000000e+00
4.394531250e-02 1.474350558031e-21 1.490100854639e-21 0.000000000000e+00 0.000000000000e+00
4.418945312e-02 1.381386405759e-21 1.581182397304e-21 0.000000000000e+00 0.000000000000e+00
4.443359375e-02 1.282489298536e-21 1.666419320852e-21 0.000000000000e+00 0.000000000000e+00
4.467773437e-02 1.178042406145e-21 1.745395668305e-21 0.000000000000e+00 0.000000000000e+00
4.492187500e-02 1.068460537273e-21 1.817722306354e-21 0.000000000000e+00 0.000000000000e+00
4.516601562e-02 9.541888027172e-22 1.883039772268e-21 0.000000000000e+00 0.000000000000e+00
4.541015625e-02 8.356996658149e-22 1.941020654030e-21 0.000000000000e+00 0.000000000000e+00
4.565429687e-02 7.134902098933e-22 1.991371728968e-21 0.000000000000e+00 0.000000000000e+00
4.589843750e-02 5.880794992491e-22 2.033835963375e-21 0.000000000000e+00 0.000000000000e+00
4.614257812e-02 4.600061082576e-22 2.068194745450e-21 0.000000000000e+00 0.000000000000e+00
4.638671875e-02 3.298249589055e-22 2.094269477271e-21 0.000000000000e+00 0.000000000000e+00
4.663085937e-02 1.981037675034e-22 2.111922439509e-21 0.000000000000e+00 0.000000000000e+00
4.687500000e-02 6.541979696068e-23 2.121057741634e-21 0.000000000000e+00 0.000000000000e+00
4.711914062e-02 -6.764344553014e-23 2.121622280207e-21 0.000000000000e+00 0.000000000000e+00
4.736328125e-02 -2.004996724318e-22 2.113606674118e-21 0.000000000000e+00 0.000000000000e+00
4.760742188e-02 -3.325633841131e-22 2.097044727062e-21 0.000000000000e+00 0.000000000000e+00
4.785156250e-02 -4.632532738465e-22 2.072013082568e-21 0.000000000000e+00 0.000000000000e+00
4.809570312e-02 -5.919956176546e-22 2.038630792021e-21 0.000000000000e+00 0.000000000000e+00
4.833984375e-02 -7.182280031685e-22 1.997059058103e-21 0.000000000000e+00 0.000000000000e+00
4.858398438e-02 -8.414025433795e-22 1.947499856011e-21 0.000000000000e+00 0.000000000000e+00
4.882812500e-02 -9.609887477947e-22 1.890194192900e-21 0.000000000000e+00 0.000000000000e+00
4.907226562e-02 -1.076476474089e-21 1.825420518306e-21 0.000000000000e+00 0.000000000000e+00
4.931640625e-02 -1.187379140987e-21 1.753493041279e-21 0.000000000000e+00 0.000000000000e+00
4.956054688e-02 -1.293236817455e-21 1.674759673062e-21 0.000000000000e+00 0.000000000000e+00
4.980468750e-02 -1.393617954103e-21 1.589599364506e-21 0.000000000000e+00 0.000000000000e+00
5.004882812e-02 -1.488121471377e-21 1.498419624887e-21 0.000000000000e+00 0.000000000000e+00
5.029296875e-02 -1.576378861190e-21 1.401653902955e-21 0.000000000000e+00 0.000000000000e+00
5.053710938e-02 -1.658056760201e-21 1.299758609869e-21 0.000000000000e+00 0.000000000000e+00
5.078125000e-02 -1.732857798706e-21 1.193210139001e-21 0.000000000000e+00 0.000000000000e+00
5.102539062e-02 -1.800521339467e-21 1.082501965719e-21 0.000000000000e+00 0.000000000000e+00
5.126953125e-02 -1.860824420389e-21 9.681416533079e-22 0.000000000000e+00 0.000000000000e+00
5.151367188e-02 -1.913582978950e-21 8.506473903057e-22 0.000000000000e+00 0.000000000000e+00
5.175781250e-02 -1.958652332300e-21 7.305446051011e-22 0.000000000000e+00 0.000000000000e+00
5.200195312e-02 -1.995926482050e-21 6.083633754894e-22 0.000000000000e+00 0.000000000000e+00
5.224609375e-02 -2.025337936654e-21 4.846354985237e-22 0.000000000000e+00 0.000000000000e+00
5.249023437e-02 -2.046857492995e-21 3.598913349816e-22 0.000000000000e+00 0.000000000000e+00
5.273437500e-02 -2.060494019045e-21 2.346560267844e-22 0.000000000000e+00 0.000000000000e+00
5.297851562e-02 -2.066292957056e-21 1.094474293921e-22 0.000000000000e+00 0.000000000000e+00
5.322265625e-02 -2.064335077671e-21 -1.522618002604e-23 0.000000000000e+00 0.000000000000e+00
5.346679687e-02 -2.054735273870e-21 -1.388686196527e-22 0.000000000000e+00 0.000000000000e+00
5.371093750e-02 -2.037641242828e-21 -2.609990646934e-22 0.000000000000e+00 0.000000000000e+00
5.395507812e-02 -2.013231650053e-21 -3.811541973971e-22 0.000000000000e+00 0.000000000000e+00
5.419921875e-02 -1.981714194803e-21 -4.988893089827e-22 0.000000000000e+00 0.000000000000e+00
5.444335937e-02 -1.943323794899e-21 -6.137800645517e-22 0.000000000000e+00 0.000000000000e+00
